pag,qty,stylecolor_snum
CMC_LD_ART,140,12
CMC_LD_MKT,796,30
GA_BX_MKT,4215,57
GA_DZ_CPR,5916,13
GA_DZ_VP,3519,20
GA_LD_ART,4458,7
GA_LD_CPR,256850,153
GA_LD_MKT,6216,105
GA_LD_VP,63109,127
GA_MX_MKT,7370,11
GA_RS_CPR,1174,4
GA_ULD_ART,6393,17
GA_ULD_MKT,37223,90
GA_ULD_VP,15777,8
GA_ZD_MKT,29175,12
MM_BX_MKT,4855,85
MM_DZ_CPR,5935,13
MM_DZ_MKT,12718,74
MM_DZ_VP,1060,15
MM_GS_MKT,640,22
MM_GS_VP,1503,13
MM_LD_CPR,583,6
MM_MO_MKT,3044,26
MM_MX_MKT,3807,7
MM_TPC_MKT,3953,31
MT_PK_CPR,43222,20
OT_DZ_MKT,2405,26
OT_RS_CPR,4204,7
OT_TPC_MKT,709,48
OT_WX_MKT,1365,51
